x,velocity_cm_s
-3.468660968660971733e+00,-1.142662677781878244e+01
-3.465099715099718036e+00,-1.059910490842085551e+01
-3.461538461538464340e+00,-9.772398331505087299e+00
-3.457977207977211087e+00,-8.975585812268718655e+00
-3.454415954415957390e+00,-8.258943720445287795e+00
-3.450854700854703694e+00,-7.610786197123758257e+00
-3.447293447293450441e+00,-7.100684867448890714e+00
-3.443732193732196745e+00,-6.675373955919255309e+00
-3.440170940170943048e+00,-6.362845171089162477e+00
-3.436609686609689795e+00,-7.061007299983529606e+00
-3.433048433048436099e+00,-7.001219184624716263e+00
-3.429487179487182402e+00,-6.215820760138683454e+00
-3.425925925925929150e+00,-4.890698712459084163e+00
-3.422364672364675453e+00,-3.101131714105946457e+00
-3.418803418803421756e+00,-1.018602950494653214e+00
-3.415242165242168504e+00,1.209319639102801602e+00
-3.411680911680914807e+00,3.435068115414480872e+00
-3.408119658119661111e+00,5.571134418687947232e+00
-3.404558404558407858e+00,7.467232968044058339e+00
-3.400997150997153717e+00,9.054335666659440562e+00
-3.397435897435900465e+00,1.018215693365500840e+01
-3.393874643874647212e+00,1.080476862586868947e+01
-3.390313390313393072e+00,1.077732044563578029e+01
-3.386752136752139819e+00,1.002045725802553022e+01
-3.383190883190886566e+00,1.020580041563779616e+01
-3.379629629629632426e+00,1.040473178128617349e+01
-3.376068376068379173e+00,1.057974790079103400e+01
-3.372507122507125477e+00,1.075340519949226348e+01
-3.368945868945871780e+00,1.075829695438525846e+01
-3.365384615384618527e+00,1.076264518095679534e+01
-3.361823361823364831e+00,1.088303670415656654e+01
-3.358262108262111134e+00,1.108658806053720980e+01
-3.354700854700857882e+00,1.145781790408322820e+01
-3.351139601139604185e+00,1.199536741399096229e+01
-3.347578347578350488e+00,1.267477781579552243e+01
-3.344017094017097236e+00,1.349007029796096901e+01
-3.340455840455843539e+00,1.433009331875207693e+01
