x,velocity_cm_s
-2.827638301735092341e+00,3.369164507871995795e+01
-2.823799534101812281e+00,3.306580433227388482e+01
-2.819960766468532665e+00,3.252323399798677883e+01
-2.816121998835253049e+00,3.205430177462976360e+01
-2.812283231201973432e+00,3.168019502728593295e+01
-2.808444463568693816e+00,3.139072681166140910e+01
-2.804605695935414200e+00,3.097916316932776226e+01
-2.800766928302134140e+00,3.062794469246634321e+01
-2.796928160668854524e+00,3.031004177570937941e+01
-2.793089393035574908e+00,3.006024902733463477e+01
-2.789250625402295292e+00,2.982951751229383319e+01
-2.785411857769015676e+00,2.964413731186800760e+01
-2.781573090135736059e+00,2.948513963323409826e+01
-2.777734322502456443e+00,2.932921097955988898e+01
-2.773895554869176827e+00,2.916599801363194899e+01
-2.770056787235897211e+00,2.902317742439394976e+01
-2.766218019602617595e+00,2.893563626063445327e+01
-2.762379251969337979e+00,2.882720354142658437e+01
-2.758540484336058363e+00,2.869307236020694063e+01
-2.754701716702778747e+00,2.857240051736468445e+01
-2.750862949069499130e+00,2.849406642848424553e+01
-2.747024181436219514e+00,2.845954914173894679e+01
-2.743185413802939898e+00,2.847032770530212531e+01
-2.739346646169659838e+00,2.851039142269748083e+01
-2.735507878536380222e+00,2.857345433918817434e+01
-2.731669110903100606e+00,2.860057638506677335e+01
-2.727830343269820990e+00,2.862943631254906052e+01
-2.723991575636541373e+00,2.868761837006776716e+01
-2.720152808003261757e+00,2.877170225872204412e+01
-2.716314040369981697e+00,2.886475287692724123e+01
-2.712475272736702081e+00,2.896732486774826043e+01
-2.708636505103422465e+00,2.906248312960042313e+01
-2.704797737470142849e+00,2.914680736358289437e+01
-2.700958969836863233e+00,2.923418213442286628e+01
-2.697120202203583617e+00,2.932479232314203443e+01
-2.693281434570304000e+00,2.941882281076205174e+01
-2.689442666937024384e+00,2.951645847830455693e+01
-2.685603899303744768e+00,2.958669477843595530e+01
-2.681765131670465152e+00,2.964304651384017575e+01
-2.677926364037185536e+00,2.967144423876825954e+01
-2.674087596403905920e+00,2.966123880637222499e+01
-2.670248828770626304e+00,2.965981522250537239e+01
-2.666410061137346688e+00,2.966587932001606021e+01
-2.662571293504067071e+00,2.966443724804706505e+01
-2.658732525870787455e+00,2.965780001936919064e+01
-2.654893758237507395e+00,2.964809376573167299e+01
-2.651054990604227779e+00,2.965095942156753495e+01
-2.647216222970948163e+00,2.966454817666007671e+01
-2.643377455337668547e+00,2.968701122079265531e+01
-2.639538687704388931e+00,2.973398948839832201e+01
-2.635699920071109315e+00,2.979011936657651916e+01
-2.631861152437829254e+00,2.986743660983779591e+01
-2.628022384804549638e+00,2.994697242535906412e+01
-2.624183617171270022e+00,3.002724776496701509e+01
-2.620344849537990406e+00,3.010678358048831171e+01
-2.616506081904710790e+00,3.018410082374958847e+01
-2.612667314271431174e+00,3.027521019122725932e+01
-2.608828546638151558e+00,3.036511783206407245e+01
-2.604989779004871941e+00,3.048750906840783159e+01
-2.601151011371592325e+00,3.063154987238884530e+01
-2.597312243738312709e+00,3.078280103621489161e+01
-2.593473476105033093e+00,3.094052303579928775e+01
-2.589634708471753477e+00,3.110397634705537939e+01
-2.585795940838473861e+00,3.127242144589646955e+01
-2.581957173205194245e+00,3.144511880823593231e+01
-2.578118405571914629e+00,3.160383916533733384e+01
-2.574279637938635013e+00,3.177505747950344528e+01
-2.570440870305354952e+00,3.195424416570341464e+01
-2.566602102672075336e+00,3.211956477527833442e+01
-2.562763335038795720e+00,3.224918485956929715e+01
-2.558924567405516104e+00,3.236976426190072686e+01
-2.555085799772236488e+00,3.246325859455789953e+01
-2.551247032138956872e+00,3.252911321447579951e+01
-2.547408264505676811e+00,3.258047316229497881e+01
-2.543569496872397195e+00,3.259947893132238050e+01
-2.539730729239117579e+00,3.258576075951467033e+01
-2.535891961605837963e+00,3.253894888482849979e+01
-2.532053193972558347e+00,3.245867354522054882e+01
-2.528214426339278731e+00,3.232095567218054555e+01
-2.524375658705999115e+00,3.213642592445438595e+01
-2.520536891072719499e+00,3.194653462709989356e+01
-2.516698123439439883e+00,3.175163305405818903e+01
-2.512859355806160266e+00,3.147959911877687489e+01
-2.509020588172880650e+00,3.120917364838409469e+01
-2.505181820539601034e+00,3.067838023517718682e+01
-2.501343052906321418e+00,3.023486915229943861e+01
-2.497504285273041802e+00,2.993434505157920000e+01
-2.493665517639762186e+00,2.970756999040207802e+01
-2.489826750006482570e+00,2.922536330968935658e+01
-2.485987982373202509e+00,2.900104716610037769e+01
-2.482149214739922893e+00,2.857097693349783185e+01
-2.478310447106643277e+00,2.839857538079304788e+01
-2.474471679473363661e+00,2.844616375577022893e+01
-2.470632911840084045e+00,2.878129758374657854e+01
-2.466794144206804429e+00,2.944516835634962604e+01
-2.462955376573524369e+00,3.032986102123213357e+01
-2.459116608940244753e+00,3.146155473106217926e+01
-2.455277841306965136e+00,3.291558850216920007e+01
-2.451439073673685520e+00,3.473372695734784088e+01
-2.447600306040405904e+00,3.686019149236112469e+01
-2.443761538407126288e+00,3.916403087956200579e+01
-2.439922770773846672e+00,4.178917499431855731e+01
